that moment when peopl say you don't ne medicin it' mind over matter you ne to stop do that bipolar || Ground truth: anger
user user you real ne better sourc info and avoid th fak new it ha cloud even th obviou || Ground truth: anger
ask yourself thi if th alga appear to b gon i it real i it worth th risk alga water toxic threat methan cancer || Ground truth: anger
it' a bless to lov it' a bless to hav someon to lov || Ground truth: joy
summer sal bogo % off everyth in our retail showroom valid thru mix &amp match equal or lesser valu bogo ragegrafix || Ground truth: joy
long to se your fac christ jesu i rejoic in th anticipation of your com again || Ground truth: joy
user ther should ne to tak seriou action over terrorism sir || Ground truth: anger
brok sad who i ready to donat $ for m via paypal send it to info drag gmail com human help helpmeout helpm donat || Ground truth: sadness
jeremyvin tak a slight dull subject and mak it so tedious bor you actual want to rip your own throat out || Ground truth: anger
updat on person dead &amp another in seriou condition after hom invasion in flint incident happen in colleg cultural center area || Ground truth: sadness
se m smil at my past lik what wa i think find rest oh my soul d sea ń storm still know hi nam jesu ilovejesu || Ground truth: joy
unfortunate listen to user user a good a hi show i actual mak m want to emigrat worstgovernmentever || Ground truth: anger
it horrib gloomy out rn and im flourish || Ground truth: sadness
user alway sadden m when marriag doesn't work it' never help when peopl get involv and start twist thing too || Ground truth: sadness
majka didn't start || Ground truth: sadness
trump' a magician but th prestig keep be nothingburger again and th idiot keep foam at th mouth in pack over it || Ground truth: anger
user u r but idk to what extent u can go with teas m 😃 u lov it too much || Ground truth: joy
user user go ahead &amp coon would lov to se you get hit by a man i bet you wouldn't find it funny blackhatematter || Ground truth: anger
on that not petition to tak hp for credit so your horrific grad in ther matter less orufreshmenadvic || Ground truth: anger
user who even knew that th eu could b vindictiv || Ground truth: anger
user som jurono play very smart dont support truth but giv opinion in a way tht ensur government dont feel offend || Ground truth: anger
amarnathterrorattack sadden to hear thi ne to tak strict action against terrorism || Ground truth: sadness
user user u envy blac chyna money yet want donation urself whiteman gossip snarl || Ground truth: anger
that moment you pour your heart and soul to a girl sh read th messag but doesn't rep lov relationship help idontknow || Ground truth: sadness
onc you'v been hurt you'r so scar to get attach again you hav a fear that every person i go to break your ❤️ ️ 💯 || Ground truth: sadness
quick annoying vagu scream into th void aaaaaaaaaagh i'm nervou excit terrifi try not to get my hop up || Ground truth: anger
new madden franchis leagu on xb com soon follow &amp dm if interest full team leagu st help decid rul &amp roster || Ground truth: joy
earlier where' notinmynam gang now hop they hav placard condemn islamic terrorism next || Ground truth: anger
user wish you well sir you ar an extreme straightforward and jovial person || Ground truth: joy
and th idiot ar still gobb their ridiculou garbag with no better brain it' all they do th relentless braindead garbag gobber || Ground truth: anger
user sorry to burst your bubbl but opposition research i part of every political campaign doesn't matter wher it com from || Ground truth: sadness
met a cut virgo boy from main h shar hi joint with m whil w harmoniz in a garden || Ground truth: joy
user user and us political power to exact reveng when they don't get what they want kushner || Ground truth: anger
a includ in th villalta scal peopl liv with pt experienc heavi of th leg and pretibial oedema isth || Ground truth: sadness
why would mourinho b talk about lacazett h doesn't worry about other club' player that' klopp and wenger' job || Ground truth: anger
shaft abrasion from panti mere shift to th sid theoldsideshift annoyanc humansoflatecapitalism || Ground truth: anger
